username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2018/09/26;17;119;"Hide and Seek, the #IoT #botnet discovered by our Labs, is back with new tricks. Learn why not just smart TVs, DVRs & other devices might be affected, but also Android-running devices that have the Android Debug Bridge over Wi-Fi feature enabled. https://labs.bitdefender.com/2018/09/hide-and-seek-iot-botnet-learns-new-tricks-uses-adb-over-internet-to-exploit-thousands-of-android-devices/?utm_source=SMGlobal&utm_medium=Twitter&utm_campaign=labs …";;;#IoT #botnet;"1044916497515196417";https://twitter.com/BitdefenderBOX/status/1044916497515196417
;2018/09/25;12;18;"And now the #IoT #botnet C2 has new ascii art, has a message "hi ankit" , and a photoshopped image of Krebs with Nexus Zeta and MalwareTech #bizzarehttps://twitter.com/NurM4rvin/status/1044318691909931009 …";;;#IoT #botnet #bizzarehttps;"1044347462209720321";https://twitter.com/ankit_anubhav/status/1044347462209720321
;2018/09/24;12;25;"Strange ASCII art by #IOT #botnet C2 using CVE-2017-17215 with hidden message. http://194(.)182.65.56/ pic.twitter.com/G1RKU3en8J";;;#IOT #botnet;"1044192414888529920";https://twitter.com/ankit_anubhav/status/1044192414888529920
;2018/09/23;38;49;"What's the Anatomy of a #botnet #attack? #cybercrime #cyberrisk #Hackers #IoT @Fisher85M #Malware #CyberSecurity #infosec #bots cc: @DrJDrooghaag @KaiGrunwitz @digitalcloudgal @TriciaKicksSaaS @TmanSpeaks @evankirstel @mclynd @pierrepinna @jblefevre60 @andi_staub @TopCyberNewspic.twitter.com/OPEqFUGUmb";;@Fisher85M @DrJDrooghaag @KaiGrunwitz @digitalcloudgal @TriciaKicksSaaS @TmanSpeaks @evankirstel @mclynd @pierrepinna @jblefevre60 @andi_staub @TopCyberNewspic;#botnet #attack #cybercrime #cyberrisk #Hackers #IoT #Malware #CyberSecurity #infosec #bots;"1043926752337252357";https://twitter.com/Paula_Piccard/status/1043926752337252357
;2018/09/22;30;33;"What's the Anatomy of a #botnet #attack? #cybercrime #cyberrisk #Hackers #IoT #Naqra #Malware #CyberSecurity #infosec #bots V/ @Fisher85M mt @Naqra_ @Auual C/ @antgrasso @HaroldSinnott @MikeQuindazzi @Fisher85M @alvinfoo @vg_fco @GrowUrStartup @kashthefuturist @alison_iotpic.twitter.com/6YYI1QOYHb";;@Fisher85M @Naqra_ @Auual @antgrasso @HaroldSinnott @MikeQuindazzi @Fisher85M @alvinfoo @vg_fco @GrowUrStartup @kashthefuturist @alison_iotpic;#botnet #attack #cybercrime #cyberrisk #Hackers #IoT #Naqra #Malware #CyberSecurity #infosec #bots;"1043249194205675520";https://twitter.com/Auual/status/1043249194205675520
;2018/09/21;22;20;"Mirai: Die Entwickler des IoT-Botnetzes arbeiten jetzt für das FBI https://www.heise.de/security/meldung/Mirai-Die-Entwickler-des-IoT-Botnetzes-arbeiten-jetzt-fuer-das-FBI-4169926.html … #Botnet #InternetderDinge";;;#Botnet #InternetderDinge;"1043133018896883714";https://twitter.com/heisec/status/1043133018896883714
;2018/09/20;17;15;"Mirai Botnet Creators Helping FBI Fight Cybercrime to Stay Out of Jail https://thehackernews.com/2018/09/mirai-botnet-fbi-cybercrime.html … #mirai #IoT #botnet @thehackersnews #CyberSecurity #infosec";;@thehackersnews;#mirai #IoT #botnet #CyberSecurity #infosec;"1042799044379074560";https://twitter.com/cybersecboardrm/status/1042799044379074560
;2018/09/19;15;9;"New Windows and #Linux Malware — Dubbed XBash — Combines #Ransomware, Coin-Mining and #Botnet Features Into One https://thehackernews.com/2018/09/ransomware-coinmining-botnet.html … Important: Paying Ransom Will Get You Nothing! via @Swati_THNpic.twitter.com/rtKGZGfIS1";;@Swati_THNpic;#Linux #Ransomware #Botnet;"1042470929509564416";https://twitter.com/unix_root/status/1042470929509564416
;2018/09/19;12;11;"Mild-Mannered #Botnet Hunts Down #Malware So It Can Fix It http://j.mp/2MLetfA  #Infosecpic.twitter.com/C3B46tbVIk";;;#Botnet #Malware #Infosecpic;"1042217992367427584";https://twitter.com/AI__TECH/status/1042217992367427584
;2018/09/18;13;11;"New #Mirai and #Gafgyt #botnet variants target #ApacheStruts and #SonicWall GMS: http://ow.ly/ZhAu30lS5pV  #cyber #alert #infosec #tech #malware #apache | #followus for #free #cybersecurity #resourcespic.twitter.com/SLEHEU8gUt";;;#Mirai #Gafgyt #botnet #ApacheStruts #SonicWall #cyber #alert #infosec #tech #malware #apache #followus #free #cybersecurity #resourcespic;"1042091133906677760";https://twitter.com/NJCybersecurity/status/1042091133906677760
;2018/09/14;15;13;"Sly #malware author hides #cryptomining #botnet behind ever-shifting proxy service http://j.mp/2p7Btfs  #Infosecpic.twitter.com/SjOZnhPXti";;;#malware #cryptomining #botnet #Infosecpic;"1040423028276965376";https://twitter.com/AI__TECH/status/1040423028276965376
;2018/09/13;13;11;"#MiércolesHacker | Hace un año se detuvo a un #hacker ruso que controlaba 100.000 dispositivos a través de una #botnet. ¿Están seguros nuestros equipos de #IoT y #smartphones? http://bit.ly/2Mo5Zux pic.twitter.com/uIRP1WEKkd";;;#Mi #hacker #botnet #IoT #smartphones;"1039983488777113600";https://twitter.com/techreview_es/status/1039983488777113600
;2018/09/09;7;15;"post de la semana: conoce los entornos amenazados por el #cryptojacking: #botnet, transacciones de #usuarios y #dispositivos móviles. http://ow.ly/RkYX30lHMid pic.twitter.com/YS3YbXSCFC";;;#cryptojacking #botnet #usuarios #dispositivos;"1038677153125216257";https://twitter.com/ElevenPaths/status/1038677153125216257
;2018/08/23;8;9;"Hmm...malicious emails spreading via “Brain Food” #botnet? Check out the weekly #bulletin for the latest #cyber threats: http://ow.ly/D0M430lwQCx  #email #news #cybersecurity #infosec #tech #followus for #free #resources #malwarepic.twitter.com/PEORVcKE6F";;;#botnet #bulletin #cyber #email #news #cybersecurity #infosec #tech #followus #free #resources #malwarepic;"1032700553548189698";https://twitter.com/NJCybersecurity/status/1032700553548189698
;2018/08/20;19;55;"Great Conversation with @avrohomg on #AskTheCeo #Podcast Episode 64: #CyberSecurity, #IoT, @asvin_iot, #Botnet, #blockchain. Was an honor to talk! Watch on Youtube: https://buff.ly/2MZOxxS  @robvank @KenHerron @stefihane @akwyz @antgrasso @oggemein @dvidflrmnd @Energinepic.twitter.com/v0W57UlWmH";;@avrohomg @asvin_iot @robvank @KenHerron @stefihane @akwyz @antgrasso @oggemein @dvidflrmnd @Energinepic;#AskTheCeo #Podcast #CyberSecurity #IoT #Botnet #blockchain;"1031519979378761728";https://twitter.com/mirko_ross/status/1031519979378761728
;2018/08/20;12;36;"*Hello,* most data-driven counterintelligence/law-enforcement/ #FinCEN investigation in history. Oh, and as an aside, could you roust a few metric tons of #botnet accounts for a *real* data trail on this? You already did? *Great!* All good, then.";;;#FinCEN #botnet;"1031299665680125953";https://twitter.com/Dry_Observer/status/1031299665680125953
;2018/08/19;38;33;"#IoT botnet of heaters & ovens can cause massive widespread power outages #Security #Botnet #Hacking #Vulnerabilityhttps://www.hackread.com/iot-botnet-heaters-ovens-cause-widespread-power-outages/ …";;;#IoT #Security #Botnet #Hacking #Vulnerabilityhttps;"1031184224953532418";https://twitter.com/HackRead/status/1031184224953532418
;2018/08/19;64;84;""A standard water tower can be emptied in an hour using a botnet of 1,355 sprinklers," Nassi et. all wrote in their whitepaper. "A flood water reservoir can be emptied overnight using a botnet of 23,866 sprinklers." #IoT #DDoS #Botnet https://www.bleepingcomputer.com/news/security/flaws-in-smart-irrigation-systems-expose-water-utilities-to-botnet-grade-attacks/ …";;;#IoT #DDoS #Botnet;"1031089068216598528";https://twitter.com/aallan/status/1031089068216598528
;2018/08/17;112;98;"What types of #attacks put #IoT devices at #risk in the past? #CyberSecurity #CyberAttack #DDoS #botnet #CyberAware #Malware #irc [via @kaspersky]pic.twitter.com/SYnNbYaOzf";;@kaspersky;#attacks #IoT #risk #CyberSecurity #CyberAttack #DDoS #botnet #CyberAware #Malware #irc;"1030481896671723520";https://twitter.com/Fisher85M/status/1030481896671723520
;2018/08/17;22;20;"What do #CISOs worry about? —they are likely to have a #databreach / #CyberAttack in 2018 @opus #InfoSec #Malware #intrusion #privacy #vulnerability #trojans #botnet #spyware #hacking @mclynd @reach2ratan @evankirstel @OttLegalRebels @antgrasso https://www.opus.com/infosec/?detail=5663 …pic.twitter.com/hx8kH00JQT";;@opus @mclynd @reach2ratan @evankirstel @OttLegalRebels @antgrasso;#CISOs #databreach #CyberAttack #InfoSec #Malware #intrusion #privacy #vulnerability #trojans #botnet #spyware #hacking;"1030477867036098561";https://twitter.com/AshokNellikar/status/1030477867036098561
;2018/08/16;21;56;"I like such honest comments from #malware authors. In fact malware source code often has bugs but nobody cares because no bounty is offered if you find a bug in malware lol. This is #shinoa #iot #botnet source code snippet md5 : 821a3293e5d1d2ce964432c12b9ee93a pic.twitter.com/HW0ysPrFqW";;;#malware #shinoa #iot #botnet;"1029978599904837632";https://twitter.com/ankit_anubhav/status/1029978599904837632
;2018/08/08;24;28;"This Crypto Scam Botnet Consists of Over 15,000 Separate Bots https://bitcoinmagazine.com/articles/crypto-scam-botnet-consists-over-15000-separate-bots/ … #scams #botnet #blockchain #cryptocurrencynews";;;#scams #botnet #blockchain #cryptocurrencynews;"1027271416239022081";https://twitter.com/BitcoinMagazine/status/1027271416239022081
;2018/08/06;21;32;"Duo Security researchers' Twitter 'bot or not' study unearths crypto botnet https://tcrn.ch/2ObVdJg  via @techcrunch Am I Bot or Not??? Great work @duosec #botnet #CISO #security";;@techcrunch @duosec;#botnet #CISO #security;"1026495032247889920";https://twitter.com/realdavidp/status/1026495032247889920
;2018/07/27;33;16;"BYOB (Build Your Own Botnet). #BigData #Analytics #DataScience #CyberSecurity #IoT #IIoT #Botnet #RansomWare #Python #RStats #TensorFlow #Java #JavaScript #ReactJS #VueJS #GoLang #CloudComputing #Serverless #DataScientist @missdkingsbury http://bit.ly/2JZZhd0 pic.twitter.com/YwkEUMXMLQ";;@missdkingsbury;#BigData #Analytics #DataScience #CyberSecurity #IoT #IIoT #Botnet #RansomWare #Python #RStats #TensorFlow #Java #JavaScript #ReactJS #VueJS #GoLang #CloudComputing #Serverless #DataScientist;"1022747175577677824";https://twitter.com/gp_pulipaka/status/1022747175577677824
;2018/07/25;28;29;"#Botnet author confirms "The Death botnet has not attacked anything major yet but I know it will," [it was] "originally just to ddos but I have a greater plan on it soon" excellent work @ankit_anubhav https://www.bleepingcomputer.com/news/security/malware-author-building-death-botnet-using-old-avtech-flaw/ … #malware #IoT";;@ankit_anubhav;#Botnet #malware #IoT;"1022028985147031552";https://twitter.com/Raj_Samani/status/1022028985147031552
;2018/07/23;27;23;"Unpatched D-Link and Dasan GPON router vulnerabilities are being targeted by #hackers attempting to build a #botnet army: https://threatpost.com/d-link-dasan-routers-under-attack-in-yet-another-assault/134255/ …";;;#hackers #botnet;"1021334107714859011";https://twitter.com/threatpost/status/1021334107714859011
;2018/07/21;41;28;"Industrial #CyberSecurity —Perception vs. Reality #Infographic #CyberSec #Malware #Threat #InfoSec #Cloud #Hacking #databreach #Ransomware #botnet #phishing @AshokNellikarpic.twitter.com/sxP2b4PWON";;@AshokNellikarpic;#CyberSecurity #Infographic #CyberSec #Malware #Threat #InfoSec #Cloud #Hacking #databreach #Ransomware #botnet #phishing;"1020747635165102080";https://twitter.com/evankirstel/status/1020747635165102080
;2018/07/13;77;99;"The #CyberSecurity Glossary { #Infographic} @NCSC @karolina_kurzac @Fisher85M #Security #Cloud #CloudComputing #CyberAttack #IoT #Phishing #SaaS #2FA #Ransomware #infosec #AV #Botnet #DDoS #BYOD #SocialEngineering #Encryptionpic.twitter.com/uYP5dyk8mA";;@NCSC @karolina_kurzac @Fisher85M;#CyberSecurity #Infographic #Security #Cloud #CloudComputing #CyberAttack #IoT #Phishing #SaaS #2FA #Ransomware #infosec #AV #Botnet #DDoS #BYOD #SocialEngineering #Encryptionpic;"1017523012055240706";https://twitter.com/TriciaKicksSaaS/status/1017523012055240706
;2018/07/08;21;22;"What are some #online #threats that I should be aware of? {Infographic} #infosec #Trojans #bots #Botnet #Malware @Fisher85M #cybercrime #virus #CyberSecurity #Ransomware #Tech #CyberSec #marketing #onlineshopping #onlinesafety #breach #security cc @ipfconline1 cc @antgrassopic.twitter.com/IAJgnMpVpK";;@Fisher85M @ipfconline1 @antgrassopic;#online #threats #infosec #Trojans #bots #Botnet #Malware #cybercrime #virus #CyberSecurity #Ransomware #Tech #CyberSec #marketing #onlineshopping #onlinesafety #breach #security;"1015952384336506883";https://twitter.com/edmuke/status/1015952384336506883
;2018/07/07;23;38;"#WalkAway’s popularity soared, in an incredibly unnatural way, partially through the use of bots. And we can all thank @ronpowers for helping out. #infosec #botnet Stay tunes for further findings on this from @SlickRockWeb and myself. Thanks to all.";;@ronpowers @SlickRockWeb;#WalkAway #infosec #botnet;"1015491520454152198";https://twitter.com/realShawnEib/status/1015491520454152198
;2018/07/07;59;58;"Continuing on recent work regarding the #WalkAway hashtag with @SlickRockWeb tonight we ask: where do you get a bot? One friendly vendor is @ronpowers, and at least until recently, he’d even get you set up on #Backpage. #infosec #botnet pic.twitter.com/vZYP90uktR";;@SlickRockWeb @ronpowers;#WalkAway #Backpage #infosec #botnet;"1015491437369217025";https://twitter.com/realShawnEib/status/1015491437369217025
;2018/07/05;22;28;"What’s the Anatomy of a #botnet #attack? #cybercrime #cyberrisk #Hackers #IoT @Fisher85M #Malware #CyberSecurity #infosec #botspic.twitter.com/CLVyrRYe0V";;@Fisher85M;#botnet #attack #cybercrime #cyberrisk #Hackers #IoT #Malware #CyberSecurity #infosec #botspic;"1014741935410614272";https://twitter.com/chboursin/status/1014741935410614272
;2018/06/11;19;15;"Do you use SOHO routers and/or NAS devices? Check out #ENISA's new #cybersecurity infonote with information on #VPNfilter #botnet & recommendations on how to protect against it. http://bit.ly/2kZtmPY pic.twitter.com/AM89zA4ZtE";;;#ENISA #cybersecurity #VPNfilter #botnet;"1006197999591096320";https://twitter.com/enisa_eu/status/1006197999591096320
;2018/06/07;153;131;"Researchers uncover widespread Prowli #malware attacks that has already infected over 40,000 servers, routers and #IoT devices. https://thehackernews.com/2018/06/prowli-malware-botnet.html … Attackers behind this #botnet are using various #hacking tactics to earn money using #cryptocurrency miners.pic.twitter.com/gnYGaVdlEK";;;#malware #IoT #botnet #hacking #cryptocurrency;"1004660965391065088";https://twitter.com/TheHackersNews/status/1004660965391065088
;2018/06/07;26;17;"Großes Botnetz: VPNFilter-Malware nimmt weitere Geräte ins Visier https://www.heise.de/security/meldung/Grosses-Botnetz-VPNFilter-Malware-nimmt-weitere-Geraete-ins-Visier-4072713.html … #Botnet";;;#Botnet;"1004636869559246848";https://twitter.com/heisec/status/1004636869559246848
;2018/06/05;10;15;"Not following cybersecurity best practices costs cybercriminals too. #IoT #botnet owners did not take proper security measures (i.e. change default passwords) to keep their infrastructure safe, allowing others to take over their command & control system. https://thehackernews.com/2018/06/iot-botnet-password.html?m=1 …";;;#IoT #botnet;"1004031414860374016";https://twitter.com/wallofsheep/status/1004031414860374016
;2018/06/04;76;134;"In an irony of epic proportions, we observed that an IoT #botnet variant, #Owari, which relies on default/weak credentials to hack IoT devices was itself using default credentials in its cnc server, allowing read/write access to the hacker's database. https://blog.newskysecurity.com/hacker-fail-iot-botnet-command-and-control-server-accessible-via-default-credentials-2ea7cab36f72 …pic.twitter.com/DyQL9UmGcX";;;#botnet #Owari;"1003741307024625666";https://twitter.com/ankit_anubhav/status/1003741307024625666
;2018/06/04;53;53;"Less than two weeks ago, Talos revealed #VPNFilter, a global malware threat, but what has happened since then? Tomorrow, hear the latest live and ongoing updates directly from Talos. Register for the webinar here http://cs.co/6015Diejx  #botnet pic.twitter.com/i4rEZC0GJU";;;#VPNFilter #botnet;"1003667711354957824";https://twitter.com/CiscoSecurity/status/1003667711354957824
;2018/06/04;157;152;"What's the Anatomy of a #botnet #attack? #cybercrime #cyberrisk #Hackers #IoT @Fisher85M #Malware #CyberSecurity #infosec #botspic.twitter.com/EM57ou2pPr";;@Fisher85M;#botnet #attack #cybercrime #cyberrisk #Hackers #IoT #Malware #CyberSecurity #infosec #botspic;"1003488016588070913";https://twitter.com/Fisher85M/status/1003488016588070913
;2018/05/30;26;29;"Sabes si estás afectado por el #botnet #VPNFilter? En este enlace te puedes informar si tu #router está en la lista de afectados y como eliminarlo. https://www.osi.es/es/actualidad/avisos/2018/05/el-fbi-toma-el-control-de-la-botnet-vpnfilter … Si no sabes cómo hacerlo, ponte en contacto con tu proveedor de internet. “Mejor prevenir que curar”pic.twitter.com/Mjo1KRfboj";;;#botnet #VPNFilter #router;"1001861292276273154";https://twitter.com/policiademadrid/status/1001861292276273154
;2018/05/30;42;55;"5-30-2018: Fraud Model: #Trickbot and #IcedID #Botnet Operators Collaborate to Increase Impact | #Fraud Master Collaboration: Monetization Funnel | Token Grab “jabber_on” | “Try to log in with: Login AND passcode at this url: <bank_login>” | #IOCs #Snort https://www.flashpoint-intel.com/blog/trickbot-icedid-collaborate-increase-impact/ …pic.twitter.com/6JdpA5SQJ0";;;#Trickbot #IcedID #Botnet #Fraud #IOCs #Snort;"1001843362113228802";https://twitter.com/VK_Intel/status/1001843362113228802
;2018/05/29;43;23;"Se ha detectado una nueva #botnet #VPNFilter que afecta principalmente a routers. Descubre si te afecta y cómo solucionarlo. #OSIaviso.  https://www.osi.es/es/actualidad/avisos/2018/05/el-fbi-toma-el-control-de-la-botnet-vpnfilter …";;;#botnet #VPNFilter #OSIaviso;"1001411179963613184";https://twitter.com/osiseguridad/status/1001411179963613184
;2018/05/27;80;56;"Here is a list of router models targeted by #VPNFilter malware - Reboot your router now. #Security #Malware #Hacking #Botnet #IoT #FBI Read More:https://www.hackread.com/fbi-reboot-your-router-protect-from-vpnfilter-malware/ …";;;#VPNFilter #Security #Malware #Hacking #Botnet #IoT #FBI;"1000498104196583424";https://twitter.com/HackRead/status/1000498104196583424
;2018/05/25;67;46;"Cisco ha descubierto una gran #botnet constituida por 500.000 unidades de tipo router que se ubican en 54 países y que han sido infectados con un #malware con nombre #VPNFilter. Se cree que la botnet podría estar preparándose para un ciberataque masivo. http://ow.ly/4MsY30kb10W pic.twitter.com/lGxUgIGEJk";;;#botnet #malware #VPNFilter;"999959602040049669";https://twitter.com/CSIRTCV/status/999959602040049669
